Start Station,Start Terminal,End Station,End Terminal,Trips
Yerba Buena Center of the Arts (3rd @ Howard),68,Howard at 2nd,63,30
Yerba Buena Center of the Arts (3rd @ Howard),68,2nd at South Park,64,74
Yerba Buena Center of the Arts (3rd @ Howard),68,Townsend at 7th,65,260
Yerba Buena Center of the Arts (3rd @ Howard),68,South Van Ness at Market,66,87
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at 10th,67,140
Yerba Buena Center of the Arts (3rd @ Howard),68,Yerba Buena Center of the Arts (3rd @ Howard),68,118
Yerba Buena Center of the Arts (3rd @ Howard),68,San Francisco Caltrain 2 (330 Townsend),69,383
Yerba Buena Center of the Arts (3rd @ Howard),68,San Francisco Caltrain (Townsend at 4th),70,498
Yerba Buena Center of the Arts (3rd @ Howard),68,Powell at Post (Union Square),71,52
Yerba Buena Center of the Arts (3rd @ Howard),68,Civic Center BART (7th at Market),72,40
Yerba Buena Center of the Arts (3rd @ Howard),68,Grant Avenue at Columbus Avenue,73,109
Yerba Buena Center of the Arts (3rd @ Howard),68,Steuart at Market,74,98
Yerba Buena Center of the Arts (3rd @ Howard),68,Mechanics Plaza (Market at Battery),75,32
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at 4th,76,34
Yerba Buena Center of the Arts (3rd @ Howard),68,Market at Sansome,77,72
Yerba Buena Center of the Arts (3rd @ Howard),68,Broadway St at Battery St,82,21
San Francisco Caltrain 2 (330 Townsend),69,Powell Street BART,39,1054
San Francisco Caltrain 2 (330 Townsend),69,Clay at Battery,41,369
San Francisco Caltrain 2 (330 Townsend),69,Davis at Jackson,42,639
San Francisco Caltrain 2 (330 Townsend),69,Commercial at Montgomery,45,295
San Francisco Caltrain 2 (330 Townsend),69,Washington at Kearny,46,175
San Francisco Caltrain 2 (330 Townsend),69,Post at Kearny,47,370
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Vallejo,48,230
San Francisco Caltrain 2 (330 Townsend),69,Spear at Folsom,49,474
San Francisco Caltrain 2 (330 Townsend),69,Harry Bridges Plaza (Ferry Building),50,1593
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Folsom,51,1422
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Bryant,54,227
San Francisco Caltrain 2 (330 Townsend),69,Temporary Transbay Terminal,55,1402
San Francisco Caltrain 2 (330 Townsend),69,Beale at Market,56,534
San Francisco Caltrain 2 (330 Townsend),69,5th at Howard,57,1428
San Francisco Caltrain 2 (330 Townsend),69,San Francisco City Hall,58,177
San Francisco Caltrain 2 (330 Townsend),69,Golden Gate at Polk,59,406
San Francisco Caltrain 2 (330 Townsend),69,Embarcadero at Sansome,60,452
San Francisco Caltrain 2 (330 Townsend),69,2nd at Townsend,61,306
San Francisco Caltrain 2 (330 Townsend),69,2nd at Folsom,62,460
San Francisco Caltrain 2 (330 Townsend),69,Howard at 2nd,63,1312
San Francisco Caltrain 2 (330 Townsend),69,2nd at South Park,64,276
San Francisco Caltrain 2 (330 Townsend),69,Townsend at 7th,65,2292
San Francisco Caltrain 2 (330 Townsend),69,South Van Ness at Market,66,418
San Francisco Caltrain 2 (330 Townsend),69,Market at 10th,67,1525
San Francisco Caltrain 2 (330 Townsend),69,Yerba Buena Center of the Arts (3rd @ Howard),68,438
San Francisco Caltrain 2 (330 Townsend),69,San Francisco Caltrain 2 (330 Townsend),69,105
San Francisco Caltrain 2 (330 Townsend),69,San Francisco Caltrain (Townsend at 4th),70,36
San Francisco Caltrain 2 (330 Townsend),69,Powell at Post (Union Square),71,101
San Francisco Caltrain 2 (330 Townsend),69,Civic Center BART (7th at Market),72,254
San Francisco Caltrain 2 (330 Townsend),69,Grant Avenue at Columbus Avenue,73,53
San Francisco Caltrain 2 (330 Townsend),69,Steuart at Market,74,1414
San Francisco Caltrain 2 (330 Townsend),69,Mechanics Plaza (Market at Battery),75,349
San Francisco Caltrain 2 (330 Townsend),69,Market at 4th,76,341
San Francisco Caltrain 2 (330 Townsend),69,Market at Sansome,77,1003
San Francisco Caltrain 2 (330 Townsend),69,Broadway St at Battery St,82,406
San Francisco Caltrain (Townsend at 4th),70,Powell Street BART,39,772
San Francisco Caltrain (Townsend at 4th),70,Clay at Battery,41,611
San Francisco Caltrain (Townsend at 4th),70,Davis at Jackson,42,987
San Francisco Caltrain (Townsend at 4th),70,Commercial at Montgomery,45,340
San Francisco Caltrain (Townsend at 4th),70,Washington at Kearny,46,132
San Francisco Caltrain (Townsend at 4th),70,Post at Kearny,47,455
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Vallejo,48,506
San Francisco Caltrain (Townsend at 4th),70,Spear at Folsom,49,608
San Francisco Caltrain (Townsend at 4th),70,Harry Bridges Plaza (Ferry Building),50,2593
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Folsom,51,1409
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Bryant,54,629
San Francisco Caltrain (Townsend at 4th),70,Temporary Transbay Terminal,55,1686
San Francisco Caltrain (Townsend at 4th),70,Beale at Market,56,953
San Francisco Caltrain (Townsend at 4th),70,5th at Howard,57,607
San Francisco Caltrain (Townsend at 4th),70,San Francisco City Hall,58,87
San Francisco Caltrain (Townsend at 4th),70,Golden Gate at Polk,59,215
San Francisco Caltrain (Townsend at 4th),70,Embarcadero at Sansome,60,823
San Francisco Caltrain (Townsend at 4th),70,2nd at Townsend,61,802
San Francisco Caltrain (Townsend at 4th),70,2nd at Folsom,62,468
San Francisco Caltrain (Townsend at 4th),70,Howard at 2nd,63,1300
San Francisco Caltrain (Townsend at 4th),70,2nd at South Park,64,242
San Francisco Caltrain (Townsend at 4th),70,Townsend at 7th,65,876
San Francisco Caltrain (Townsend at 4th),70,South Van Ness at Market,66,407
San Francisco Caltrain (Townsend at 4th),70,Market at 10th,67,890
San Francisco Caltrain (Townsend at 4th),70,Yerba Buena Center of the Arts (3rd @ Howard),68,440
San Francisco Caltrain (Townsend at 4th),70,San Francisco Caltrain 2 (330 Townsend),69,55
San Francisco Caltrain (Townsend at 4th),70,San Francisco Caltrain (Townsend at 4th),70,171
San Francisco Caltrain (Townsend at 4th),70,Powell at Post (Union Square),71,157
San Francisco Caltrain (Townsend at 4th),70,Civic Center BART (7th at Market),72,292
San Francisco Caltrain (Townsend at 4th),70,Grant Avenue at Columbus Avenue,73,122
San Francisco Caltrain (Townsend at 4th),70,Steuart at Market,74,1501
San Francisco Caltrain (Townsend at 4th),70,Mechanics Plaza (Market at Battery),75,418
San Francisco Caltrain (Townsend at 4th),70,Market at 4th,76,292
San Francisco Caltrain (Townsend at 4th),70,Market at Sansome,77,1203
San Francisco Caltrain (Townsend at 4th),70,Broadway St at Battery St,82,517
Powell at Post (Union Square),71,Powell Street BART,39,111
Powell at Post (Union Square),71,Clay at Battery,41,63
Powell at Post (Union Square),71,Davis at Jackson,42,131
Powell at Post (Union Square),71,Commercial at Montgomery,45,114
Powell at Post (Union Square),71,Washington at Kearny,46,75
Powell at Post (Union Square),71,Post at Kearny,47,137
Powell at Post (Union Square),71,Embarcadero at Vallejo,48,45
Powell at Post (Union Square),71,Spear at Folsom,49,111
Powell at Post (Union Square),71,Harry Bridges Plaza (Ferry Building),50,175
Powell at Post (Union Square),71,Embarcadero at Folsom,51,44
Powell at Post (Union Square),71,Embarcadero at Bryant,54,80
Powell at Post (Union Square),71,Temporary Transbay Terminal,55,67
Powell at Post (Union Square),71,Beale at Market,56,170
Powell at Post (Union Square),71,5th at Howard,57,112
Powell at Post (Union Square),71,San Francisco City Hall,58,61
Powell at Post (Union Square),71,Golden Gate at Polk,59,46
Powell at Post (Union Square),71,Embarcadero at Sansome,60,236
Powell at Post (Union Square),71,2nd at Townsend,61,158
Powell at Post (Union Square),71,2nd at Folsom,62,81
Powell at Post (Union Square),71,Howard at 2nd,63,314
Powell at Post (Union Square),71,2nd at South Park,64,182
Powell at Post (Union Square),71,Townsend at 7th,65,137
Powell at Post (Union Square),71,South Van Ness at Market,66,90
Powell at Post (Union Square),71,Market at 10th,67,172
Powell at Post (Union Square),71,Yerba Buena Center of the Arts (3rd @ Howard),68,76
Powell at Post (Union Square),71,San Francisco Caltrain 2 (330 Townsend),69,278
Powell at Post (Union Square),71,San Francisco Caltrain (Townsend at 4th),70,284
Powell at Post (Union Square),71,Powell at Post (Union Square),71,203
Powell at Post (Union Square),71,Civic Center BART (7th at Market),72,54
Powell at Post (Union Square),71,Grant Avenue at Columbus Avenue,73,140
Powell at Post (Union Square),71,Steuart at Market,74,155
Powell at Post (Union Square),71,Mechanics Plaza (Market at Battery),75,112
Powell at Post (Union Square),71,Market at 4th,76,65
Powell at Post (Union Square),71,Market at Sansome,77,141
Powell at Post (Union Square),71,Broadway St at Battery St,82,62
Civic Center BART (7th at Market),72,Powell Street BART,39,156
Civic Center BART (7th at Market),72,Clay at Battery,41,43
Civic Center BART (7th at Market),72,Davis at Jackson,42,47
Civic Center BART (7th at Market),72,Commercial at Montgomery,45,37
Civic Center BART (7th at Market),72,Washington at Kearny,46,111
Civic Center BART (7th at Market),72,Post at Kearny,47,92
Civic Center BART (7th at Market),72,Embarcadero at Vallejo,48,35
Civic Center BART (7th at Market),72,Spear at Folsom,49,46
Civic Center BART (7th at Market),72,Harry Bridges Plaza (Ferry Building),50,111
Civic Center BART (7th at Market),72,Embarcadero at Folsom,51,87
Civic Center BART (7th at Market),72,Embarcadero at Bryant,54,19
Civic Center BART (7th at Market),72,Temporary Transbay Terminal,55,227
Civic Center BART (7th at Market),72,Beale at Market,56,89
Civic Center BART (7th at Market),72,5th at Howard,57,138
Civic Center BART (7th at Market),72,San Francisco City Hall,58,49
Civic Center BART (7th at Market),72,Golden Gate at Polk,59,29
Civic Center BART (7th at Market),72,Embarcadero at Sansome,60,142
Civic Center BART (7th at Market),72,2nd at Townsend,61,66
Civic Center BART (7th at Market),72,2nd at Folsom,62,54
Civic Center BART (7th at Market),72,Howard at 2nd,63,30
Civic Center BART (7th at Market),72,2nd at South Park,64,54
Civic Center BART (7th at Market),72,Townsend at 7th,65,1026
Civic Center BART (7th at Market),72,South Van Ness at Market,66,188
Civic Center BART (7th at Market),72,Market at 10th,67,249
Civic Center BART (7th at Market),72,Yerba Buena Center of the Arts (3rd @ Howard),68,45
Civic Center BART (7th at Market),72,San Francisco Caltrain 2 (330 Townsend),69,544
Civic Center BART (7th at Market),72,San Francisco Caltrain (Townsend at 4th),70,161
Civic Center BART (7th at Market),72,Powell at Post (Union Square),71,69
Civic Center BART (7th at Market),72,Civic Center BART (7th at Market),72,111
Civic Center BART (7th at Market),72,Grant Avenue at Columbus Avenue,73,113
Civic Center BART (7th at Market),72,Steuart at Market,74,172
Civic Center BART (7th at Market),72,Mechanics Plaza (Market at Battery),75,148
Civic Center BART (7th at Market),72,Market at 4th,76,322
Civic Center BART (7th at Market),72,Market at Sansome,77,203
Civic Center BART (7th at Market),72,Broadway St at Battery St,82,19
Grant Avenue at Columbus Avenue,73,Powell Street BART,39,174
Grant Avenue at Columbus Avenue,73,Clay at Battery,41,349
Grant Avenue at Columbus Avenue,73,Davis at Jackson,42,132
Grant Avenue at Columbus Avenue,73,Commercial at Montgomery,45,331
Grant Avenue at Columbus Avenue,73,Washington at Kearny,46,43
Grant Avenue at Columbus Avenue,73,Post at Kearny,47,119
Grant Avenue at Columbus Avenue,73,Embarcadero at Vallejo,48,28
Grant Avenue at Columbus Avenue,73,Spear at Folsom,49,239
Grant Avenue at Columbus Avenue,73,Harry Bridges Plaza (Ferry Building),50,211
Grant Avenue at Columbus Avenue,73,Embarcadero at Folsom,51,510
Grant Avenue at Columbus Avenue,73,Embarcadero at Bryant,54,50
Grant Avenue at Columbus Avenue,73,Temporary Transbay Terminal,55,461
Grant Avenue at Columbus Avenue,73,Beale at Market,56,286
Grant Avenue at Columbus Avenue,73,5th at Howard,57,36
Grant Avenue at Columbus Avenue,73,San Francisco City Hall,58,49
Grant Avenue at Columbus Avenue,73,Golden Gate at Polk,59,31
Grant Avenue at Columbus Avenue,73,Embarcadero at Sansome,60,216
Grant Avenue at Columbus Avenue,73,2nd at Townsend,61,133
Grant Avenue at Columbus Avenue,73,2nd at Folsom,62,74
Grant Avenue at Columbus Avenue,73,Howard at 2nd,63,114
Grant Avenue at Columbus Avenue,73,2nd at South Park,64,177
Grant Avenue at Columbus Avenue,73,Townsend at 7th,65,114
Grant Avenue at Columbus Avenue,73,South Van Ness at Market,66,49
Grant Avenue at Columbus Avenue,73,Market at 10th,67,83
Grant Avenue at Columbus Avenue,73,Yerba Buena Center of the Arts (3rd @ Howard),68,87
Grant Avenue at Columbus Avenue,73,San Francisco Caltrain 2 (330 Townsend),69,56
Grant Avenue at Columbus Avenue,73,San Francisco Caltrain (Townsend at 4th),70,407
Grant Avenue at Columbus Avenue,73,Powell at Post (Union Square),71,177
Grant Avenue at Columbus Avenue,73,Civic Center BART (7th at Market),72,105
Grant Avenue at Columbus Avenue,73,Grant Avenue at Columbus Avenue,73,146
Grant Avenue at Columbus Avenue,73,Steuart at Market,74,357
Grant Avenue at Columbus Avenue,73,Mechanics Plaza (Market at Battery),75,165
Grant Avenue at Columbus Avenue,73,Market at 4th,76,339
Grant Avenue at Columbus Avenue,73,Market at Sansome,77,821
Grant Avenue at Columbus Avenue,73,Broadway St at Battery St,82,65
Steuart at Market,74,Redwood City Caltrain Station,22,3
Steuart at Market,74,Powell Street BART,39,131
Steuart at Market,74,Clay at Battery,41,203
Steuart at Market,74,Davis at Jackson,42,95
Steuart at Market,74,Commercial at Montgomery,45,79
Steuart at Market,74,Washington at Kearny,46,105
Steuart at Market,74,Post at Kearny,47,122
Steuart at Market,74,Embarcadero at Vallejo,48,449
Steuart at Market,74,Spear at Folsom,49,309
Steuart at Market,74,Harry Bridges Plaza (Ferry Building),50,35
Steuart at Market,74,Embarcadero at Folsom,51,300
Steuart at Market,74,Embarcadero at Bryant,54,769
Steuart at Market,74,Temporary Transbay Terminal,55,105
Steuart at Market,74,Beale at Market,56,17
Steuart at Market,74,5th at Howard,57,148
Steuart at Market,74,San Francisco City Hall,58,32
Steuart at Market,74,Golden Gate at Polk,59,92
Steuart at Market,74,Embarcadero at Sansome,60,1994
Steuart at Market,74,2nd at Townsend,61,2136
Steuart at Market,74,2nd at Folsom,62,79
Steuart at Market,74,Howard at 2nd,63,280
Steuart at Market,74,2nd at South Park,64,351
Steuart at Market,74,Townsend at 7th,65,523
Steuart at Market,74,South Van Ness at Market,66,51
Steuart at Market,74,Market at 10th,67,74
Steuart at Market,74,Yerba Buena Center of the Arts (3rd @ Howard),68,124
Steuart at Market,74,San Francisco Caltrain 2 (330 Townsend),69,1058
Steuart at Market,74,San Francisco Caltrain (Townsend at 4th),70,2482
Steuart at Market,74,Powell at Post (Union Square),71,112
Steuart at Market,74,Civic Center BART (7th at Market),72,84
Steuart at Market,74,Grant Avenue at Columbus Avenue,73,150
Steuart at Market,74,Steuart at Market,74,243
Steuart at Market,74,Mechanics Plaza (Market at Battery),75,223
Steuart at Market,74,Market at 4th,76,174
Steuart at Market,74,Market at Sansome,77,124
Steuart at Market,74,Broadway St at Battery St,82,432
Mechanics Plaza (Market at Battery),75,Powell Street BART,39,199
Mechanics Plaza (Market at Battery),75,Clay at Battery,41,31
Mechanics Plaza (Market at Battery),75,Davis at Jackson,42,119
Mechanics Plaza (Market at Battery),75,Commercial at Montgomery,45,227
Mechanics Plaza (Market at Battery),75,Washington at Kearny,46,143
Mechanics Plaza (Market at Battery),75,Post at Kearny,47,88
Mechanics Plaza (Market at Battery),75,Embarcadero at Vallejo,48,38
Mechanics Plaza (Market at Battery),75,Spear at Folsom,49,155
Mechanics Plaza (Market at Battery),75,Harry Bridges Plaza (Ferry Building),50,138
Mechanics Plaza (Market at Battery),75,Embarcadero at Folsom,51,222
Mechanics Plaza (Market at Battery),75,Embarcadero at Bryant,54,320
Mechanics Plaza (Market at Battery),75,Temporary Transbay Terminal,55,216
Mechanics Plaza (Market at Battery),75,Beale at Market,56,23
Mechanics Plaza (Market at Battery),75,5th at Howard,57,79
Mechanics Plaza (Market at Battery),75,San Francisco City Hall,58,53
Mechanics Plaza (Market at Battery),75,Golden Gate at Polk,59,87
Mechanics Plaza (Market at Battery),75,Embarcadero at Sansome,60,282
Mechanics Plaza (Market at Battery),75,2nd at Townsend,61,187
Mechanics Plaza (Market at Battery),75,2nd at Folsom,62,22
Mechanics Plaza (Market at Battery),75,Howard at 2nd,63,70
Mechanics Plaza (Market at Battery),75,2nd at South Park,64,69
Mechanics Plaza (Market at Battery),75,Townsend at 7th,65,37
Mechanics Plaza (Market at Battery),75,South Van Ness at Market,66,188
Mechanics Plaza (Market at Battery),75,Market at 10th,67,261
Mechanics Plaza (Market at Battery),75,Yerba Buena Center of the Arts (3rd @ Howard),68,55
Mechanics Plaza (Market at Battery),75,San Francisco Caltrain 2 (330 Townsend),69,385
Mechanics Plaza (Market at Battery),75,San Francisco Caltrain (Townsend at 4th),70,741
Mechanics Plaza (Market at Battery),75,Powell at Post (Union Square),71,285
Mechanics Plaza (Market at Battery),75,Civic Center BART (7th at Market),72,148
Mechanics Plaza (Market at Battery),75,Grant Avenue at Columbus Avenue,73,65
Mechanics Plaza (Market at Battery),75,Steuart at Market,74,107
Mechanics Plaza (Market at Battery),75,Mechanics Plaza (Market at Battery),75,111
Mechanics Plaza (Market at Battery),75,Market at 4th,76,238
Mechanics Plaza (Market at Battery),75,Market at Sansome,77,56
Mechanics Plaza (Market at Battery),75,Broadway St at Battery St,82,153
Market at 4th,76,Powell Street BART,39,89
Market at 4th,76,Clay at Battery,41,84
Market at 4th,76,Davis at Jackson,42,223
Market at 4th,76,Commercial at Montgomery,45,94
Market at 4th,76,Washington at Kearny,46,142
Market at 4th,76,Post at Kearny,47,42
Market at 4th,76,Embarcadero at Vallejo,48,74
Market at 4th,76,Spear at Folsom,49,113
Market at 4th,76,Harry Bridges Plaza (Ferry Building),50,345
Market at 4th,76,Embarcadero at Folsom,51,82
Market at 4th,76,Embarcadero at Bryant,54,101
Market at 4th,76,Temporary Transbay Terminal,55,465
Market at 4th,76,Beale at Market,56,154
Market at 4th,76,5th at Howard,57,289
Market at 4th,76,San Francisco City Hall,58,97
Market at 4th,76,Golden Gate at Polk,59,55
Market at 4th,76,Embarcadero at Sansome,60,371
Market at 4th,76,2nd at Townsend,61,238
Market at 4th,76,2nd at Folsom,62,100
Market at 4th,76,Howard at 2nd,63,78
Market at 4th,76,2nd at South Park,64,226
Market at 4th,76,Townsend at 7th,65,117
Market at 4th,76,South Van Ness at Market,66,201
Market at 4th,76,Market at 10th,67,523
Market at 4th,76,Yerba Buena Center of the Arts (3rd @ Howard),68,65
Market at 4th,76,San Francisco Caltrain 2 (330 Townsend),69,532
Market at 4th,76,San Francisco Caltrain (Townsend at 4th),70,1021
Market at 4th,76,Powell at Post (Union Square),71,47
Market at 4th,76,Civic Center BART (7th at Market),72,276
Market at 4th,76,Grant Avenue at Columbus Avenue,73,140
Market at 4th,76,Steuart at Market,74,293
Market at 4th,76,Mechanics Plaza (Market at Battery),75,128
Market at 4th,76,Market at 4th,76,220
Market at 4th,76,Market at Sansome,77,208
Market at 4th,76,Broadway St at Battery St,82,82
Market at Sansome,77,Powell Street BART,39,168
Market at Sansome,77,Clay at Battery,41,129
Market at Sansome,77,Davis at Jackson,42,315
Market at Sansome,77,Commercial at Montgomery,45,179
Market at Sansome,77,Washington at Kearny,46,98
Market at Sansome,77,Post at Kearny,47,18
Market at Sansome,77,Embarcadero at Vallejo,48,93
Market at Sansome,77,Spear at Folsom,49,154
Market at Sansome,77,Harry Bridges Plaza (Ferry Building),50,665
Market at Sansome,77,Embarcadero at Folsom,51,249
Market at Sansome,77,Embarcadero at Bryant,54,96
Market at Sansome,77,Temporary Transbay Terminal,55,305
Market at Sansome,77,Beale at Market,56,165
Market at Sansome,77,5th at Howard,57,105
Market at Sansome,77,San Francisco City Hall,58,119
Market at Sansome,77,Golden Gate at Polk,59,96
Market at Sansome,77,Embarcadero at Sansome,60,483
Market at Sansome,77,2nd at Townsend,61,1039
Market at Sansome,77,2nd at Folsom,62,553
Market at Sansome,77,Howard at 2nd,63,186
Market at Sansome,77,2nd at South Park,64,1635
Market at Sansome,77,Townsend at 7th,65,125
Market at Sansome,77,South Van Ness at Market,66,129
Market at Sansome,77,Market at 10th,67,228
Market at Sansome,77,Yerba Buena Center of the Arts (3rd @ Howard),68,169
Market at Sansome,77,San Francisco Caltrain 2 (330 Townsend),69,650
Market at Sansome,77,San Francisco Caltrain (Townsend at 4th),70,1341
Market at Sansome,77,Powell at Post (Union Square),71,72
Market at Sansome,77,Civic Center BART (7th at Market),72,124
Market at Sansome,77,Grant Avenue at Columbus Avenue,73,297
Market at Sansome,77,Steuart at Market,74,358
Market at Sansome,77,Mechanics Plaza (Market at Battery),75,58
Market at Sansome,77,Market at 4th,76,188
Market at Sansome,77,Market at Sansome,77,126
Market at Sansome,77,Broadway St at Battery St,82,252
Broadway St at Battery St,82,Powell Street BART,39,54
Broadway St at Battery St,82,Clay at Battery,41,155
Broadway St at Battery St,82,Davis at Jackson,42,181
Broadway St at Battery St,82,Commercial at Montgomery,45,76
Broadway St at Battery St,82,Washington at Kearny,46,16
Broadway St at Battery St,82,Post at Kearny,47,54
Broadway St at Battery St,82,Embarcadero at Vallejo,48,45
Broadway St at Battery St,82,Spear at Folsom,49,48
Broadway St at Battery St,82,Harry Bridges Plaza (Ferry Building),50,223
Broadway St at Battery St,82,Embarcadero at Folsom,51,95
Broadway St at Battery St,82,Embarcadero at Bryant,54,99
Broadway St at Battery St,82,Temporary Transbay Terminal,55,438
Broadway St at Battery St,82,Beale at Market,56,477
Broadway St at Battery St,82,5th at Howard,57,21
Broadway St at Battery St,82,San Francisco City Hall,58,17
Broadway St at Battery St,82,Golden Gate at Polk,59,54
Broadway St at Battery St,82,Embarcadero at Sansome,60,185
Broadway St at Battery St,82,2nd at Townsend,61,296
Broadway St at Battery St,82,2nd at Folsom,62,31
Broadway St at Battery St,82,Howard at 2nd,63,34
Broadway St at Battery St,82,2nd at South Park,64,27
Broadway St at Battery St,82,Townsend at 7th,65,28
Broadway St at Battery St,82,South Van Ness at Market,66,45
Broadway St at Battery St,82,Market at 10th,67,35
Broadway St at Battery St,82,Yerba Buena Center of the Arts (3rd @ Howard),68,35
Broadway St at Battery St,82,San Francisco Caltrain 2 (330 Townsend),69,394
Broadway St at Battery St,82,San Francisco Caltrain (Townsend at 4th),70,935
Broadway St at Battery St,82,Powell at Post (Union Square),71,68
Broadway St at Battery St,82,Civic Center BART (7th at Market),72,43
Broadway St at Battery St,82,Grant Avenue at Columbus Avenue,73,42
Broadway St at Battery St,82,Steuart at Market,74,601
Broadway St at Battery St,82,Mechanics Plaza (Market at Battery),75,331
Broadway St at Battery St,82,Market at 4th,76,148
Broadway St at Battery St,82,Market at Sansome,77,287
Broadway St at Battery St,82,Broadway St at Battery St,82,76
